Rank,AVG,Pos,Name,Team,Age,Daniel S,Drew D,Frank G,Jason K
1,1,DE,Myles Garrett,CLE,25,1,1,1,1
2,2.25,DE,Chase Young,WAS,22,2,3,2,2
3,3,DE,Nick Bosa,SFO,23,3,2,3,4
4,3.75,DE,Danielle Hunter,MIN,26,4,4,4,3
5,5.5,LB,Darius Leonard,IND,26,5,6,5,6
6,7,LB,Devin White,TBB,23,7,7,6,8
7,7.5,DE,Joey Bosa,LAC,26,6,12,7,5
8,9,S,Jamal Adams,SEA,25,9,8,8,11
9,9,DT,Aaron Donald,LAR,30,8,5,10,13
10,10,LB,TJ Watt,PIT,26,10,10,11,9
11,10,LB,Roquan Smith,CHI,24,15,9,9,7
12,12.25,DE,DeForest Buckner,IND,27,11,13,13,12
13,12.5,DE,Brian Burns,CAR,23,14,14,12,10
14,14.75,LB,Blake Martinez,NYG,27,19,11,14,15
15,15,S,Budda Baker,ARI,25,12,15,15,18
16,15.5,LB,Fred Warner,SFO,24,13,19,16,14
17,18.75,LB,Deion Jones,ATL,26,20,16,17,22
18,19.5,LB,Zach Cunningham,HOU,26,16,25,18,19
19,20.75,S,Jeremy Chinn,CAR,23,21,17,19,26
20,24.25,DL,Montez Sweat,WAS,24,38,18,24,17
21,24.75,DE,Josh Allen,JAC,24,26,32,25,16
22,25.5,LB,Devin Bush,PIT,23,17,37,23,25
23,25.75,LB,Kenneth Murray,LAC,22,31,20,31,21
24,26,LB,Jaylon Smith,DAL,26,29,22,20,33
25,27.25,S,Derwin James,LAC,25,24,39,22,24
26,27.5,DT,Quinnen Williams,NYJ,23,30,30,30,20
27,27.75,LB,Bobby Wagner,SEA,31,22,36,21,32
28,29.5,LB,Jayon Brown,TEN,26,25,33,26,34
29,29.5,LB,Joe Schobert,JAC,27,27,28,28,35
30,30.5,LB,Patrick Queen,BAL,21,18,54,27,23
31,32.5,LB,Eric Kendricks,MIN,29,28,31,29,42
32,33,LB,Lavonte David,TBB,31,23,40,33,36
33,33.75,S,Jabrill Peppers,NYG,25,34,29,32,40
34,36.25,DE,Stephon Tuitt,PIT,28,33,35,39,38
35,38,LB,Isaiah Simmons,ARI,23,39,46,37,30
36,39.25,S,Jordan Poyer,BUF,30,37,42,34,44
37,41.25,LB,Jamin Davis,WAS,-,62,21,55,27
38,41.25,LB,Myles Jack,JAC,25,41,34,42,48
39,44.25,S,Justin Simmons,DEN,27,36,52,35,54
40,44.5,S,Landon Collins,WAS,27,40,61,36,41
41,46,LB,Tremaine Edmunds,BUF,23,42,58,41,43
42,46.25,DE,Demarcus Lawrence,DAL,29,45,44,43,53
43,46.25,DB,Jessie Bates,CIN,24,47,38,48,52
44,46.25,S,Vonn Bell,CIN,26,44,51,40,50
45,46.25,DE,Cameron Jordan,NOS,32,43,49,38,55
46,46.75,DE,Leonard Williams,NYG,27,53,45,50,39
47,50.25,S,Johnathan Abram,LVR,24,49,50,46,56
48,50.5,LB,Shaq Green-Thompson,CAR,27,54,57,45,46
49,50.75,DE,Carl Lawson,NYJ,26,32,70,56,45
50,51.25,LB,Micah Parsons,DAL,-,78,24,74,29
51,51.5,DE,Yannick Ngakoue,LVR,26,57,43,47,59
52,53.5,DE,Kwity Paye,IND,-,64,23,62,65
53,53.75,DL,Sam Hubbard,CIN,26,46,63,44,62
54,54.5,LB,Jordyn Brooks,SEA,-,55,60,54,49
55,54.5,LB,Jeremiah Owusu-Koramoah,CLE,-,84,27,76,31
56,55.5,LB,Foye Oluokun,ATL,-,65,47,63,47
57,55.75,LB,Zaven Collins,ARI,-,89,26,80,28
58,59,DE,JJ Watt,ARI,32,58,71,49,58
59,59.5,LB,Jerome Baker,MIA,24,59,41,51,87
60,61,S,Antoine Winfield,TBB,22,50,66,53,75
61,61.5,DB,Khari Willis,IND,25,56,55,58,77
62,63.25,DT,Chris Jones,KCC,27,52,112,52,37
63,64,S,Taylor Rapp,LAR,23,48,65,64,79
64,64.25,DE,Jonathan Allen,WAS,26,63,67,61,66
65,67,LB,Bobby Okereke,IND,-,51,78,66,73
66,67.75,LB,Demario Davis,NOS,32,68,56,71,76
67,68.25,S,Keanu Neal,DAL,26,61,53,57,102
68,69.75,DT,Jeffery Simmons,TEN,24,67,88,67,57
69,73.25,LB,Willie Gay,KCC,-,75,102,65,51
70,74.5,DE,Cameron Heyward,PIT,32,70,89,69,70
71,75.75,LB,Shaquil Barrett,TBB,28,72,103,68,60
72,76,S,Xavier McKinney,NYG,-,79,74,73,78
73,76.5,S,John Johnson,CLE,26,35,,59,61
74,78.5,LB,Logan Wilson,CIN,25,87,79,79,69
75,82,DE,Jaelan Phillips,MIA,-,119,48,94,67
76,83.5,DT,Grady Jarrett,ATL,28,90,96,77,71
77,84,LB,Jordan Hicks,ARI,29,60,72,60,144
78,84.25,DL,Javon Kinlaw,SFO,23,92,90,81,74
79,84.25,DL,Da'Ron Payne,WAS,24,94,98,82,63
80,87,LB,Matt Milano,BUF,27,80,113,75,80
81,89,LB,Bradley Chubb,DEN,25,99,104,89,64
82,89.25,LB,C.J. Mosley,NYJ,29,82,121,86,68
83,89.25,DT,Romeo Okwara,DET,26,96,69,84,108
84,89.75,LB,Leighton Vander Esch,DAL,25,66,73,72,148
85,92,LB,Krys Barnes,GBP,23,73,91,70,134
86,92.5,S,Kamren Curl,WAS,-,133,64,88,85
87,93,DE,Trey Hendrickson,CIN,26,106,80,92,94
88,93.25,LB,Pete Werner,NOS,-,91,83,110,89
89,93.25,DE,Jason Pierre-Paul,TBB,32,69,68,85,
90,95.25,S,Richie Grant,ATL,-,113,75,111,82
91,98.25,DB,Minkah Fitzpatrick,PIT,24,98,115,87,93
92,98.25,DE,Alex Highsmith,PIT,-,93,99,102,99
93,99.5,DE,Azeez Ojulari,NYG,-,97,107,99,95
94,100,S,Tracy Walker,DET,26,104,82,95,119
95,101.25,LB,TJ Edwards,PHI,-,86,77,91,
96,102,S,Adrian Amos,GBP,28,81,140,96,91
97,102.25,LB,Micah Kiser,LAR,26,76,148,78,107
98,102.5,LB,Dre Greenlaw,SFO,24,115,94,113,88
99,104.5,DL,Derrick Brown,CAR,23,,97,98,72
100,105,DE,Frank Clark,KCC,28,95,128,83,114
101,105.25,LB,Za'Darius Smith,GBP,28,100,131,106,84
102,105.25,S,Jordan Fuller,LAR,-,142,86,101,92
103,106.75,DE,Jadeveon Clowney,TEN,28,121,62,93,
104,107,DE,Gregory Rousseau,BUF,-,124,84,124,96
105,107.75,LB,Nick Bolton,KCC,-,149,59,125,98
106,108,S,Marcus Maye,NYJ,27,110,95,103,124
107,108.5,LB,Kamal Martin,GBP,-,74,87,122,
108,110,LB,Baron Browning,DEN,-,135,81,127,97
109,110.5,S,Tyrann Mathieu,KCC,29,109,116,114,103
110,114.5,S,Ashtyn Davis,NYJ,24,105,134,104,115
111,114.75,DE,Jayson Oweh,BAL,-,,106,119,83
112,115.5,LB,Cory Littleton,LVR,27,102,119,90,
113,118,LB,Bud Dupree,TEN,28,111,,105,105
114,119.5,S,Kyle Dugger,NEP,25,141,124,132,81
115,120.5,DE,Brandon Graham,PHI,33,71,,109,
116,122,DT,Christian Wilkins,MIA,25,122,136,121,109
117,122.25,S,Darnell Savage Jr,GBP,-,108,133,97,
118,122.25,DE,Carlos Dunlap,SEA,32,114,120,112,143
119,124,DT,Ed Oliver,BUF,23,118,,115,112
120,124.5,LB,Akeem Davis-Gaither,CIN,23,88,139,120,
121,125,DE,Derek Barnett,PHI,25,112,129,108,
122,126,DE,Josh Sweat,PHI,24,83,130,140,
123,126.5,LB,Chandler Jones,ARI,31,138,,131,86
124,127,LB,Anthony Walker,CLE,25,85,,136,136
125,127.25,LB,Christian Kirksey,HOU,28,107,,100,
126,127.75,DE,Dayo Odeyingbo,IND,-,,92,142,126
127,129.25,LB,Drue Tranquill,LAC,25,130,,123,113
128,130,LB,Jacob Phillips,CLE,-,132,132,134,122
129,130,LB,AJ Johnson,DEN,29,123,,135,111
130,130,LB,Avery Williamson,NYJ,29,129,122,118,
131,130.5,S,Jevon Holland,MIA,-,,76,144,
132,132.5,LB,Troy Reeder,LAR,26,77,,,
133,132.75,DT,Levi Onwuzurike,DET,-,,100,143,137
134,132.75,DE,Yetur Gross-Matos,CAR,23,143,125,138,125
135,133,DB,Terrell Edmunds,PIT,24,128,126,128,150
136,133.5,DT,Ndamukong Suh,TBB,34,116,,116,
137,133.75,LB,Chazz Surratt,MIN,-,150,85,149,
138,134.25,S,Harrison Smith,MIN,32,101,135,150,
139,134.5,DE,Olivier Vernon,FA,30,103,,133,
140,134.5,LB,Harold Landry,TEN,25,144,,139,104
141,134.75,S,Adrian Phillips,NEP,29,,,147,90
142,134.75,LB,Von Miller,DEN,32,120,,117,
143,135.25,DE,Payton Turner,NOS,-,,111,,128
144,136.5,DT,Christian Barmore,NEP,-,,93,,
145,137.75,LB,Rashaan Evans,TEN,25,127,145,137,142
146,138.25,DE,K'Lavon Chaisson,JAC,22,,,,100
147,138.25,DT,Jerry Tillery,LAC,24,125,,126,
148,138.5,LB,De'Vondre Campbell,ARI,28,,,,101
149,138.5,DE,Joseph Ossai,CIN,-,,101,,
150,139.5,LB,Cameron McGrone,NEP,-,,105,,
151,139.75,DT,Dre'Mont Jones,DEN,24,,,,106
152,140,LB,Jon Bostic,WAS,30,,,107,
153,140.25,S,Hamsah Nasirildeen,NYJ,-,,108,,
154,140.5,LB,Monty Rice,TEN,-,,109,,
155,140.75,LB,Ernest Jones,LAR,-,,110,,
156,140.75,LB,Khalil Mack,CHI,30,,,,110
157,141.25,S,Chuck Clark,BAL,26,,114,,149
158,142.25,S,Kevin Byard,TEN,27,,,,116
159,142.25,DT,Jarran Reed,KCC,27,,137,,130
160,142.25,LB,Germaine Pratt,CIN,-,137,,130,
161,142.5,DT,Fletcher Cox,PHI,30,117,,,
162,142.5,S,Amani Hooker,TEN,23,,,,117
163,142.5,DE,Emmanuel Ogbah,MIA,27,,117,,
164,142.75,DE,Patrick Jones II,MIN,-,,118,,
165,142.75,DE,Sheldon Richardson,CLE,30,140,,129,
166,142.75,S,Malcolm Jenkins,NOS,33,,,,118
167,143.25,LB,Denzel Perryman,CAR,27,131,,,140
168,143.25,LB,Josh Uche,NEP,-,,,,120
169,143.5,S,Grant Delpit,CLE,22,,,,121
170,143.75,LB,Davion Taylor,PHI,-,136,142,146,
171,144,LB,Alex Singleton,PHI,27,,123,,
172,144,LB,Rashan Gary,GBP,23,,,,123
173,144.75,DL,Justin Madubuike,BAL,23,126,,,
174,145,DE,Carlos Basham Jr.,BUF,-,,,,127
175,145,DE,Trey Flowers,DET,27,,127,,
176,145.5,DE,Joe Tryon,TBB,-,,,,129
177,146,DE,Kenny Clark,GBP,25,,,,131
178,146.25,DT,Larry Ogunjobi,CIN,27,,,,132
179,146.25,LB,Derrick Barnes,DET,-,,144,,139
180,146.5,DL,Sebastian Joseph,LAR,26,,,,133
181,146.75,LB,Justin Strnad,DEN,24,134,,,
182,147,LB,Eric Wilson,PHI,26,,,,135
183,147.5,LB,Tyrell Adams,HOU,29,,147,141,
184,147.75,LB,Jamie Collins,DET,31,,138,,
185,147.75,LB,Nicholas Morrow,LVR,26,,,,138
186,148,LB,Justin Houston,BAL,32,139,,,
187,148.5,DE,Chauncey Golston,DAL,-,,141,,
188,148.5,DL,Maxx Crosby,LVR,-,,,,141
189,149,DE,Arik Armstead,SFO,26,,143,,
190,149.5,DB,Justin Reid,HOU,24,145,,,
191,149.5,LB,Leonard Floyd,LAR,28,,,,145
192,149.5,LB,Benardrick McKinney,MIA,28,,,145,
193,149.75,LB,Matt Judon,NEP,28,,,,146
194,149.75,DE,AJ Epenesa,BUF,22,,146,,
195,149.75,DE,Marcus Davenport,NOS,24,148,149,,
196,149.75,DB,Chauncey Gardner-Johnson,NOS,23,146,,,
197,150,S,L'Jarius Sneed,KCC,-,147,,,
198,150,S,Andre Cisco,JAC,-,,,,147
199,150.25,LB,Kwon Alexander,SFO,27,,,148,
200,150.75,LB,Danny Trevathan,CHI,31,,150,,
