"round","roster_id","player_id","picked_by","pick_no","metadata__years_exp","metadata__team","metadata__status","metadata__sport","metadata__position","metadata__player_id","metadata__number","metadata__news_updated","metadata__last_name","metadata__injury_status","metadata__first_name","is_keeper","draft_slot","draft_id"
"1","1","4046","544936785197502464","1","4","KC","Active","nfl","QB","4046","15","1629515457085","Mahomes","","Patrick","null","1","736680396980441088"
"1","2","5849","","2","2","ARI","Active","nfl","QB","5849","1","1629999912102","Murray","","Kyler","null","2","736680396980441088"
"1","3","4034","","3","4","CAR","Active","nfl","RB","4034","22","1629856528354","McCaffrey","","Christian","null","3","736680396980441088"
"1","4","3198","","4","5","TEN","Active","nfl","RB","3198","22","1629675048404","Henry","","Derrick","null","4","736680396980441088"
"1","5","4984","","5","3","BUF","Active","nfl","QB","4984","17","1629417910027","Allen","","Josh","null","5","736680396980441088"
"1","6","4029","","6","4","MIN","Active","nfl","RB","4029","33","1629591331715","Cook","","Dalvin","null","6","736680396980441088"
"1","7","4866","","7","3","NYG","Active","nfl","RB","4866","26","1629998411083","Barkley","Questionable","Saquon","null","7","736680396980441088"
"1","8","4035","","8","4","NO","Active","nfl","RB","4035","41","1629761455175","Kamara","","Alvin","null","8","736680396980441088"
"1","9","3164","","9","5","DAL","Active","nfl","RB","3164","21","1629857728489","Elliott","","Ezekiel","null","9","736680396980441088"
"1","10","4881","","10","3","BAL","Active","nfl","QB","4881","8","1629946506377","Jackson","","Lamar","null","10","736680396980441088"
"1","11","4988","","11","3","CLE","Active","nfl","RB","4988","24","1627774210427","Chubb","","Nick","null","11","736680396980441088"
"1","12","6813","","12","1","IND","Active","nfl","RB","6813","28","1629586830987","Taylor","","Jonathan","null","12","736680396980441088"
"2","12","1466","","13","8","KC","Active","nfl","TE","1466","87","1629516657380","Kelce","","Travis","null","12","736680396980441088"
"2","11","3294","","14","5","DAL","Active","nfl","QB","3294","4","1629918903159","Prescott","Questionable","Dak","null","11","736680396980441088"
"2","10","3321","","15","5","KC","Active","nfl","WR","3321","10","1629738353426","Hill","","Tyreek","null","10","736680396980441088"
"2","9","4199","","16","4","GB","Active","nfl","RB","4199","33","1629576929650","Jones","","Aaron","null","9","736680396980441088"
"2","8","6797","","17","1","LAC","Active","nfl","QB","6797","10","1628790616327","Herbert","","Justin","null","8","736680396980441088"
"2","7","2133","","18","7","GB","Active","nfl","WR","2133","17","1629576629319","Adams","","Davante","null","7","736680396980441088"
"2","6","4217","","19","4","SF","Active","nfl","TE","4217","85","1629672321934","Kittle","","George","null","6","736680396980441088"
"2","5","2449","","20","6","BUF","Active","nfl","WR","2449","14","1629947406266","Diggs","Questionable","Stefon","null","5","736680396980441088"
"2","4","7528","","21","0","PIT","Active","nfl","RB","7528","22","1629912033192","Harris","","Najee","null","4","736680396980441088"
"2","3","1234","","22","9","SEA","Active","nfl","QB","1234","3","1629730551848","Wilson","","Russell","null","3","736680396980441088"
"2","2","4663","","23","4","LAC","Active","nfl","RB","4663","30","1628823319259","Ekeler","","Austin","null","2","736680396980441088"
"2","1","6770","544936785197502464","24","1","CIN","Active","nfl","QB","6770","9","1629917132674","Burrow","","Joe","null","1","736680396980441088"
"3","1","2505","544936785197502464","25","6","LV","Active","nfl","TE","2505","83","1629600332802","Waller","","Darren","null","1","736680396980441088"
"3","2","4018","","26","4","CIN","Active","nfl","RB","4018","28","1629521458078","Mixon","","Joe","null","2","736680396980441088"
"3","3","5846","","27","2","SEA","Active","nfl","WR","5846","14","1629597032134","Metcalf","","DK","null","3","736680396980441088"
"3","4","4981","","28","3","ATL","Active","nfl","WR","4981","18","1629585630788","Ridley","","Calvin","null","4","736680396980441088"
"3","5","6945","","29","1","WAS","Active","nfl","RB","6945","24","1629519958165","Gibson","","Antonio","null","5","736680396980441088"
"3","6","5859","","30","2","TEN","Active","nfl","WR","5859","11","1629747653959","Brown","Questionable","A.J.","null","6","736680396980441088"
"3","7","6794","","31","1","MIN","Active","nfl","WR","6794","18","1629603632923","Jefferson","Questionable","Justin","null","7","736680396980441088"
"3","8","1426","","32","8","ARI","Active","nfl","WR","1426","10","1629519057519","Hopkins","Questionable","DeAndre","null","8","736680396980441088"
"3","9","6790","","33","1","DET","Active","nfl","RB","6790","32","1629821124528","Swift","Questionable","D'Andre","null","9","736680396980441088"
"3","10","96","","34","16","GB","Active","nfl","QB","96","12","1629575729581","Rodgers","","Aaron","null","10","736680396980441088"
"3","11","6820","","35","1","KC","Active","nfl","RB","6820","25","1629563139862","Edwards-Helaire","Questionable","Clyde","null","11","736680396980441088"
"3","12","6806","","36","1","BAL","Active","nfl","RB","6806","27","1629947406266","Dobbins","","J.K.","null","12","736680396980441088"
"4","12","5892","","37","2","CHI","Active","nfl","RB","5892","32","1629584430439","Montgomery","","David","null","12","736680396980441088"
"4","11","6904","","38","1","PHI","Active","nfl","QB","6904","1","1629674748326","Hurts","","Jalen","null","11","736680396980441088"
"4","10","1992","","39","7","CHI","Active","nfl","WR","1992","12","1629567928438","Robinson","","Allen","null","10","736680396980441088"
"4","9","7553","","40","0","ATL","Active","nfl","TE","7553","8","1629644137626","Pitts","","Kyle","null","9","736680396980441088"
"4","8","167","","41","21","TB","Active","nfl","QB","167","12","1629158144218","Brady","","Tom","null","8","736680396980441088"
"4","7","5927","","42","2","WAS","Active","nfl","WR","5927","17","1628886325329","McLaurin","","Terry","null","7","736680396980441088"
"4","6","421","","43","12","LAR","Active","nfl","QB","421","9","1629837626894","Stafford","","Matthew","null","6","736680396980441088"
"4","5","5012","","44","3","BAL","Active","nfl","TE","5012","89","1629988810689","Andrews","","Mark","null","5","736680396980441088"
"4","4","6786","","45","1","DAL","Inactive","nfl","WR","6786","88","1629761154464","Lamb","COV","CeeDee","null","4","736680396980441088"
"4","3","1049","","46","9","TEN","Active","nfl","QB","1049","17","1629993610580","Tannehill","COV","Ryan","null","3","736680396980441088"
"4","2","1479","","47","8","LAC","Active","nfl","WR","1479","13","1629005738567","Allen","","Keenan","null","2","736680396980441088"
"4","1","7523","544936785197502464","48","0","JAX","Active","nfl","QB","7523","16","1629907232576","Lawrence","","Trevor","null","1","736680396980441088"
"5","1","2216","544936785197502464","49","7","TB","Active","nfl","WR","2216","13","1629158744428","Evans","","Mike","null","1","736680396980441088"
"5","2","4273","","50","4","SEA","Active","nfl","RB","4273","32","1629646837707","Carson","","Chris","null","2","736680396980441088"
