player_id,player_name,position,birthdate,team_nfl,sleeper_id,mfl_id
10001,Tom Brady,QB,8/3/1977,TBB,167,5848
10002,Philip Rivers,QB,12/8/1981,FA,,7394
10003,Ben Roethlisberger,QB,3/2/1982,PIT,138,7401
10004,Jason Witten,TE,5/6/1982,LVR,23,6997
10005,Ryan Fitzpatrick,QB,11/24/1982,WAS,333,8062
10006,Frank Gore,RB,5/14/1983,NYJ,,7877
10007,Larry Fitzgerald,WR,8/31/1983,ARI,,7393
10008,Aaron Rodgers,QB,12/2/1983,GBP,96,7836
10009,Alex Smith,QB,5/7/1984,FA,,7813
10010,Marcedes Lewis,TE,5/19/1984,GBP,111,8269
10011,Delanie Walker,TE,8/12/1984,FA,284,8416
10012,Joe Flacco,QB,1/16/1985,PHI,,9064
10013,Greg Olsen,TE,3/11/1985,SEA,,8687
10014,Adrian Peterson,RB,3/21/1985,DET,,8658
10015,Matt Ryan,QB,5/17/1985,ATL,24,9099
10016,Chad Henne,QB,7/2/1985,KCC,,9073
10017,Danny Amendola,WR,11/2/1985,DET,,9308
10018,Darren Fells,TE,4/22/1986,HOU,1592,11337
10019,Chase Daniel,QB,10/7/1986,LAC,,9706
10020,Jimmy Graham,TE,11/24/1986,CHI,616,9925
10021,DeSean Jackson,WR,12/1/1986,PHI,147,9075
10022,Emmanuel Sanders,WR,3/16/1987,NOS,538,9918
10023,Jared Cook,TE,4/7/1987,NOS,367,9474
10024,Tim Tebow,TE,8/14/1987,JAC,559,9862
10025,Colt McCoy,QB,9/5/1987,ARI,,9899
10026,Andy Dalton,QB,10/29/1987,CHI,829,10313
10027,Matthew Stafford,QB,2/7/1988,LAR,421,9431
10028,Case Keenum,QB,2/17/1988,CLE,1737,10948
10029,Antonio Brown,WR,7/10/1988,TBB,536,9988
10030,LeSean McCoy,RB,7/12/1988,TBB,,9448
10031,Ryan Tannehill,QB,7/27/1988,TEN,1049,10697
10032,AJ Green,WR,7/31/1988,CIN,830,10261
10033,Golden Tate,WR,8/2/1988,NYG,,9831
10034,Kirk Cousins,QB,8/19/1988,MIN,1166,10700
10035,Dez Bryant,WR,11/4/1988,BAL,574,9823
10036,Russell Wilson,QB,11/29/1988,SEA,1234,10703
10037,Nick Foles,QB,1/20/1989,CHI,,10699
10038,Julio Jones,WR,2/3/1989,ATL,947,10271
10039,Cole Beasley,WR,4/26/1989,BUF,1144,10973
10040,Cam Newton,QB,5/11/1989,NEP,954,10273
10041,Rob Gronkowski,TE,5/14/1989,TBB,515,9902
10042,Tyrod Taylor,QB,8/3/1989,HOU,827,10413
10043,Mohamed Sanu,WR,8/22/1989,DET,1071,10723
10044,Andrew Luck,QB,9/12/1989,FA,,10695
10045,Travis Kelce,TE,10/5/1989,KCC,1466,11244
10046,Blaine Gabbert,QB,10/15/1989,TBB,,10262
10047,Kyle Rudolph,TE,11/9/1989,MIN,,10312
10048,TY Hilton,WR,11/14/1989,IND,1110,10729
10049,Mike Glennon,QB,12/12/1989,NYG,1559,11152
10050,Mark Ingram,RB,12/21/1989,BAL,956,10276
10051,Ryan Griffin,TE,1/11/1990,NYJ,,11399
10052,Latavius Murray,RB,1/18/1990,NOS,1476,11390
10053,Robert Griffin,QB,2/12/1990,FA,,10696
10054,Alshon Jeffery,WR,2/14/1990,PHI,,10722
10055,Marvin Jones,WR,3/12/1990,DET,1067,10738
10056,John Brown,WR,4/3/1990,LVR,2238,11783
10057,Jack Doyle,TE,5/5/1990,IND,1706,11516
10058,Vance McDonald,TE,6/13/1990,PIT,1587,11257
10059,Rex Burkhead,RB,7/2/1990,NEP,1387,11182
10060,Jordan Reed,TE,7/3/1990,SFO,1500,11248
10061,Adam Thielen,WR,8/22/1990,MIN,1689,11938
10062,Randall Cobb,WR,8/22/1990,HOU,928,10308
10063,Taysom Hill,QB,8/23/1990,NOS,4381,13424
10064,Matt Barkley,QB,9/8/1990,TEN,,11151
10065,Tyler Eifert,TE,9/8/1990,JAC,,11250
10066,AJ McCarron,QB,9/13/1990,ATL,,11643
10067,Carlos Hyde,RB,9/20/1990,SEA,2257,11657
10068,Dion Lewis,RB,9/27/1990,NYG,,10389
10069,Geno Smith,QB,10/10/1990,SEA,1373,11150
10070,Chris Thompson,RB,10/20/1990,JAC,,11186
10071,Zach Ertz,TE,11/10/1990,PHI,1339,11247
10072,Cordarrelle Patterson,WR,3/17/1991,CHI,1535,11225
10073,Derek Carr,QB,3/28/1991,LVR,2028,11644
10074,Kyle Juszczyk,RB,4/23/1991,SFO,1379,11367
10075,Garrett Gilbert,QB,7/1/1991,DAL,,11854
10076,Logan Thomas,TE,7/1/1991,WAS,2251,11647
10077,Cameron Brate,TE,7/3/1991,TBB,2214,12110
10078,Trey Burton,TE,10/29/1991,IND,,11705
10079,Jimmy Garoppolo,QB,11/2/1991,SFO,1837,11760
10080,Giovani Bernard,RB,11/22/1991,CIN,1386,11193
10081,David Johnson,RB,12/16/1991,HOU,2391,12171
