Position_Rank,Position_Tier,Name,Position,Team,Budget,Estimated_PPG,2020_PPG,2019_PPG,2020_PositionRank,2019_PositionRank,Expert_Rank,BYE
1,1,Patrick Mahomes,QB,KCC,45,25,25.09333333,20.66,2,5,1,
2,1,Josh Allen,QB,BUF,45,25,25.135,18.285,1,9,2,
3,1,Kyler Murray,QB,ARI,45,25,23.92125,17.955,4,11,3,
4,2,Dak Prescott,QB,DAL,35,23,27.728,21.23625,-,3,5,
5,2,Lamar Jackson,QB,BAL,35,23,22.652,27.84533333,7,1,4,
6,2,Aaron Rodgers,QB,GBP,35,23,24.135,17.68,3,12,7,
7,3,Ryan Tannehill,QB,TEN,25,22,21.585,18.97333333,9,8,11,
8,3,Russell Wilson,QB,SEA,25,22,22.7425,20.66875,6,4,6,
9,3,Joe Burrow,QB,CIN,25,22,17.782,-,14,-,13,
10,3,Deshaun Watson,QB,HOU,25,22,23.27,21.60533333,5,2,31,
11,3,Justin Herbert,QB,LAC,25,22,22.26933333,-,8,-,8,
12,4,Jalen Hurts,QB,PHI,15,19,7.436,-,31,-,9,
13,4,Matthew Stafford,QB,LAR,15,19,16.36625,21.2325,19,-,12,
14,4,Kirk Cousins,QB,MIN,15,19,19.45625,16.52133333,11,17,16,
15,4,Tom Brady,QB,TBB,15,19,21.23875,16.605,10,16,10,
16,4,Trevor Lawrence,QB,JAC,15,19,-,-,-,-,15,
17,5,Baker Mayfield,QB,CLE,8,17,15.795,14.455,22,26,17,
18,5,Tua Tagovailoa,QB,MIA,8,17,12.41454545,-,27,-,18,
19,5,Zach Wilson,QB,NYJ,8,17,-,-,-,-,28,
20,6,Ryan Fitzpatrick,QB,WAS,7,16,17.08222222,16.23066667,-,18,20,
21,6,Matt Ryan,QB,ATL,7,16,17.865,18.156,13,10,14,
22,6,Justin Fields,QB,CHI,7,16,-,-,-,-,24,
23,7,Daniel Jones,QB,NYG,6,15,13.33714286,17.38307692,25,14,21,
24,7,Ben Roethlisberger,QB,PIT,6,15,17.95466667,6.37,12,-,22,
25,8,Trey Lance,QB,SFO,5,12,-,-,-,-,26,
26,8,Derek Carr,QB,LVR,5,12,17.52,15.46625,16,22,23,
27,8,Jared Goff,QB,DET,5,12,16.28533333,15.80125,20,20,30,
28,8,Sam Darnold,QB,CAR,5,12,11.335,14.83538462,29,25,25,
29,9,Mac Jones,QB,NEP,2,10,-,-,-,-,37,
30,9,Jimmy Garoppolo,QB,SFO,2,10,10.72333333,15.800625,-,21,34,
31,9,Jameis Winston,QB,NOS,2,10,-,19.40375,-,7,27,
32,10,Cam Newton,QB,NEP,1,10,17.46533333,9.44,17,-,29,
33,10,Taysom Hill,QB,NOS,1,10,10.10125,6.3875,30,31,32,
34,10,Andy Dalton,QB,CHI,1,10,12.57272727,16.03538462,26,19,38,
35,10,Carson Wentz,QB,IND,1,10,16.86666667,17.67875,18,13,19,
36,,Marcus Mariota,QB,LVR,,,25.84,12.14571429,-,-,43,
37,,Taylor Heinicke,QB,WAS,,,11.68,-,-,-,44,
38,,Mitchell Trubisky,QB,BUF,,,15.58,13.65466667,23,28,39,
39,,Drew Lock,QB,DEN,,,14.19384615,13.8,24,-,35,
40,,Teddy Bridgewater,QB,DEN,,,16.28133333,10.14,21,-,33,
41,,Jordan Love,QB,GBP,,,-,-,-,-,40,
42,,Davis Mills,QB,HOU,,,-,-,-,-,42,
43,,Kellen Mond,QB,MIN,,,-,-,-,-,46,
44,,Kyle Trask,QB,TBB,,,-,-,-,-,49,
1,1,Christian McCaffrey,RB,CAR,65,22,30.13333333,30.0125,-,1,1,
2,1,Dalvin Cook,RB,MIN,65,22,24.78571429,21.24285714,2,2,2,
3,1,Alvin Kamara,RB,NOS,65,22,25.4,17.82285714,1,8,3,
4,2,Saquon Barkley,RB,NYG,55,19,7.7,19.23846154,-,7,6,
5,2,Jonathan Taylor,RB,IND,55,19,17.12,-,8,-,9,
6,2,Derrick Henry,RB,TEN,55,19,21.34375,20.64,3,3,4,
7,3,Aaron Jones,RB,GBP,35,15,18.92142857,20.18125,4,4,8,
8,3,Ezekiel Elliott,RB,DAL,35,15,15.24666667,19.60625,13,6,5,
9,3,D'Andre Swift,RB,DET,35,15,14.75384615,-,16,-,15,
10,3,Antonio Gibson,RB,WAS,35,15,14.60714286,-,17,-,12,
11,3,Nick Chubb,RB,CLE,35,15,17.39166667,16.325,7,10,10,
12,4,J.K. Dobbins,RB,BAL,24,14,11.43333333,-,28,-,17,
13,4,Austin Ekeler,RB,LAC,24,14,16.53,19.8125,10,5,7,
